Product id,Product position,Promotion,Seasonal,Sales volume,Price,Terms,Section,Revenue
185102,Aisle,No,No,2823,19.99,Jackets,Man,56431.77
188771,Aisle,No,No,654,169.0,Jackets,Man,110526.0
180176,End-Cap,Yes,Yes,2220,129.0,Jackets,Man,286380.0
112917,Aisle,Yes,Yes,1568,129.0,Jackets,Man,202272.0
192936,End-Cap,No,Yes,2942,139.0,Jackets,Man,408938.0
117590,End-Cap,No,No,2968,79.9,Jackets,Man,237143.2
189118,Front Of Store,Yes,Yes,952,69.99,Jackets,Man,66630.48
182157,Aisle,No,No,2421,159.0,Jackets,Man,384939.0
141861,Aisle,Yes,Yes,1916,169.0,Jackets,Man,323804.0
137121,Aisle,No,Yes,656,169.0,Jackets,Man,110864.0
113143,Aisle,Yes,Yes,2663,129.0,Jackets,Man,343527.0
140028,Aisle,Yes,Yes,1260,159.0,Jackets,Man,200340.0
134693,Aisle,Yes,No,2124,169.0,Jackets,Man,358956.0
151396,Front Of Store,Yes,Yes,729,439.0,Jackets,Man,320031.0
132889,Aisle,Yes,Yes,2265,99.9,Jackets,Man,226273.5
152174,End-Cap,No,No,2226,99.9,Jackets,Man,222377.4
129906,Aisle,No,No,2089,69.9,Jackets,Man,146021.1
195879,Front Of Store,Yes,Yes,2339,129.0,Jackets,Man,301731.0
155050,Aisle,No,Yes,2321,129.0,Jackets,Man,299409.0
194410,End-Cap,No,No,669,159.0,Jackets,Man,106371.0
141904,End-Cap,Yes,Yes,1712,109.0,Jackets,Man,186608.0
124981,Front Of Store,No,Yes,1832,89.9,Jackets,Man,164696.8
161909,Aisle,Yes,No,1290,299.0,Jackets,Man,385710.0
129152,End-Cap,No,No,2356,49.9,Jackets,Man,117564.4
183243,Front Of Store,Yes,No,1524,169.0,Jackets,Man,257556.0
198248,Front Of Store,Yes,No,1644,69.9,Jackets,Man,114915.6
191230,End-Cap,No,No,966,89.9,Jackets,Man,86843.4
187234,Front Of Store,Yes,Yes,2575,59.9,Jackets,Man,154242.5
148888,Front Of Store,No,No,2774,109.0,Jackets,Man,302366.0
110805,Front Of Store,Yes,No,2477,159.0,Jackets,Man,393843.0
179801,Front Of Store,No,Yes,2608,129.0,Jackets,Man,336432.0
134927,Aisle,Yes,Yes,2252,129.0,Jackets,Man,290508.0
123150,End-Cap,Yes,No,2074,129.0,Jackets,Man,267546.0
159145,End-Cap,Yes,No,2579,109.0,Jackets,Man,281111.0
172364,Aisle,Yes,No,2931,109.0,Jackets,Man,319479.0
178281,End-Cap,No,Yes,1145,109.0,Jackets,Man,124805.0
194339,End-Cap,No,No,1792,89.9,Jackets,Man,161100.8
174412,Aisle,No,Yes,1796,69.9,Jackets,Man,125540.4
114877,Aisle,No,No,1860,349.0,Jackets,Man,649140.0
140727,End-Cap,Yes,Yes,1002,79.9,Jackets,Man,80059.8
133109,Front Of Store,No,Yes,2063,79.9,Jackets,Man,164833.7
127296,Aisle,No,No,1165,89.9,Jackets,Man,104733.5
133757,Aisle,Yes,No,2071,129.0,Jackets,Man,267159.0
111760,End-Cap,No,No,1474,109.0,Jackets,Man,160666.0
198375,End-Cap,No,No,2202,69.9,Jackets,Man,153919.8
168837,Aisle,No,No,665,89.9,Jackets,Man,59783.5
138505,Front Of Store,No,No,2478,69.9,Jackets,Man,173212.2
116228,End-Cap,Yes,No,647,89.9,Jackets,Man,58165.3
167592,Front Of Store,Yes,No,707,89.9,Jackets,Man,63559.3
133100,End-Cap,Yes,No,2729,89.9,Jackets,Man,245337.1
119955,Front Of Store,No,No,1590,89.9,Jackets,Man,142941.0
189349,End-Cap,Yes,No,1245,89.9,Jackets,Man,111925.5
127478,Front Of Store,No,Yes,2498,129.0,Jackets,Man,322242.0
180661,Front Of Store,No,Yes,1041,129.0,Jackets,Man,134289.0
186681,End-Cap,No,Yes,1717,19.99,Jackets,Man,34322.83
133183,Front Of Store,Yes,Yes,2859,89.9,Jackets,Man,257024.1
173508,Aisle,Yes,No,1658,129.0,Jackets,Man,213882.0
187930,End-Cap,No,Yes,706,89.9,Jackets,Man,63469.4
124088,End-Cap,Yes,Yes,2065,79.9,Jackets,Man,164993.5
190238,Front Of Store,No,Yes,1917,89.9,Jackets,Man,172338.3
151925,End-Cap,Yes,Yes,2179,299.0,Jackets,Man,651521.0
163234,Front Of Store,No,No,1633,89.9,Jackets,Man,146806.7
135610,Aisle,Yes,Yes,1513,109.0,Jackets,Man,164917.0
117065,Aisle,Yes,Yes,758,109.0,Jackets,Man,82622.0
149315,End-Cap,Yes,No,718,109.0,Jackets,Man,78262.0
149510,Aisle,No,Yes,1412,59.9,Jackets,Man,84578.8
137990,Aisle,No,No,2929,29.99,Jackets,Man,87840.71
154016,End-Cap,Yes,Yes,2366,189.0,Jackets,Man,447174.0
117751,Aisle,No,No,2749,89.9,Jackets,Man,247135.1
